arrival_rate,bp_L,bp_H,FCFS_percentage,BAL_percentage,total_rounds
36.00,30.00,18.00,83.75,16.25,400
40.00,16.77,64.00,96.00,4.00,400
38.00,30.00,12.00,96.25,3.75,400
40.00,30.00,9.00,98.50,1.50,400
34.00,30.00,6.00,99.75,0.25,400
40.00,30.00,6.00,99.75,0.25,400
34.00,30.00,9.00,99.75,0.25,400
34.00,30.00,15.00,94.75,5.25,400
32.00,16.77,64.00,99.25,0.75,400
38.00,16.77,64.00,94.75,5.25,400
40.00,4.64,32768.00,0.75,99.25,400
34.00,30.00,12.00,98.25,1.75,400
36.00,30.00,15.00,94.50,5.50,400
32.00,30.00,6.00,99.75,0.25,400
40.00,30.00,18.00,71.00,29.00,400
34.00,5.65,4096.00,0.00,100.00,400
32.00,30.00,12.00,99.50,0.50,400
40.00,7.92,512.00,1.75,98.25,400
36.00,16.77,64.00,97.50,2.50,400
40.00,30.00,15.00,89.00,11.00,400
40.00,30.00,12.00,94.00,6.00,400
30.00,4.07,262144.00,0.00,100.00,400
34.00,7.92,512.00,0.50,99.50,400
28.00,4.07,262144.00,0.00,100.00,400
30.00,30.00,12.00,99.75,0.25,400
38.00,7.92,512.00,1.00,99.00,400
32.00,4.07,262144.00,0.75,99.25,400
36.00,5.65,4096.00,0.25,99.75,400
26.00,4.07,262144.00,0.50,99.50,400
38.00,5.65,4096.00,0.00,100.00,400
26.00,4.64,32768.00,0.00,100.00,400
24.00,4.07,262144.00,0.75,99.25,400
22.00,4.07,262144.00,0.25,99.75,400
32.00,7.92,512.00,0.75,99.25,400
24.00,5.65,4096.00,0.50,99.50,400
40.00,5.65,4096.00,0.25,99.75,400
24.00,4.64,32768.00,0.50,99.50,400
28.00,5.65,4096.00,0.00,100.00,400
28.00,4.64,32768.00,0.00,100.00,400
30.00,16.77,64.00,99.25,0.75,400
34.00,4.07,262144.00,0.25,99.75,400
30.00,4.64,32768.00,0.00,100.00,400
20.00,4.07,262144.00,0.50,99.50,400
28.00,7.92,512.00,0.75,99.25,400
26.00,5.65,4096.00,0.50,99.50,400
30.00,30.00,6.00,99.75,0.25,400
20.00,4.64,32768.00,0.25,99.75,400
30.00,30.00,15.00,98.50,1.50,400
38.00,4.64,32768.00,0.75,99.25,400
