frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,420585.871356,81397.000000
128,264176.433472,44807.000000
16384,41674.641174,22488.000000
16,440395.289365,70854.000000
2048,245427.302249,42700.000000
256,233074.718468,52806.000000
2,5560.306916,2118.000000
32768,450121.086559,57237.000000
32,448890.069838,85971.000000
4096,68094.598435,36835.000000
4,269313.390209,67162.000000
512,274561.290476,42278.000000
64,202631.141434,44791.000000
65536,33605.102038,28620.000000
8192,44272.211307,23258.000000
8,9749.415162,4383.000000
