frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,392436.231499,65445.000000
128,424585.571272,93181.000000
16384,172201.061399,45944.000000
16,19398.443468,11221.000000
2048,102667.296565,26942.000000
256,457169.157160,73113.000000
2,284565.276151,58172.000000
32768,694644.668070,52386.000000
32,211668.285584,50286.000000
4096,192474.350120,43178.000000
4,452629.260758,81485.000000
512,335555.217560,65284.000000
64,11190.889688,7012.000000
65536,762881.238973,84619.000000
8192,12987.486708,11383.000000
8,57206.450904,38528.000000
