frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,127592.136094,44198.000000
128,181283.206023,52202.000000
16384,40542.148722,17507.000000
16,6127.142564,3706.000000
2048,382980.711360,64997.000000
256,162235.814295,51834.000000
2,11703.521265,7918.000000
32768,66410.833484,28494.000000
32,6090.508025,3684.000000
4096,134802.346411,25854.000000
4,244653.270387,50817.000000
512,43147.409841,27354.000000
64,32067.882671,25693.000000
65536,111430.678128,41954.000000
8192,15639.506482,13529.000000
8,11577.085169,6699.000000
