frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,160195.536361,47503.000000
128,338335.293332,64152.000000
16384,247796.409213,51197.000000
16,403416.222570,60833.000000
2048,581963.002079,88644.000000
256,257201.450628,57577.000000
2,7620.494341,4986.000000
32768,220427.077472,56639.000000
32,225549.143226,46031.000000
4096,84506.903706,21631.000000
4,433210.898582,69991.000000
512,422827.143125,86057.000000
64,7933.638005,5379.000000
65536,31584.706378,15423.000000
8192,606784.713579,46682.000000
8,31002.324316,29226.000000
