frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,420024.292825,81419.000000
128,31097.889189,19643.000000
16384,47706.304342,19717.000000
16,523569.084565,86562.000000
2048,97949.869372,56177.000000
256,5212.351389,1773.000000
2,19847.351788,14737.000000
32768,422323.401334,75746.000000
32,259856.074078,51057.000000
4096,495856.899095,38499.000000
4,437205.191917,77195.000000
512,20463.559050,17563.000000
64,57387.986304,27668.000000
65536,117370.965724,27724.000000
8192,587682.350183,88242.000000
8,28966.619271,25585.000000
