frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,144252.667726,44948.000000
128,7613.403707,3269.000000
16384,451580.078666,71338.000000
16,240663.079073,52674.000000
2048,39512.477118,9926.000000
256,524034.746525,102922.000000
2,277425.788466,48651.000000
32768,125128.458813,52414.000000
32,264861.682212,45887.000000
4096,8870.823581,7239.000000
4,455348.355609,75775.000000
512,364455.697797,45322.000000
64,21079.802774,18428.000000
65536,227917.031180,50243.000000
8192,443245.662341,56232.000000
8,411034.118379,68687.000000
