frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,28068.835138,26634.000000
128,403308.566486,57315.000000
16384,19933.563530,13908.000000
16,285828.896365,55061.000000
2048,523771.485937,66515.000000
256,23311.599323,12814.000000
2,406709.854951,70927.000000
32768,344149.244545,83372.000000
32,9442.124814,5238.000000
4096,569096.389592,93961.000000
4,25435.825090,15989.000000
512,25508.691617,20614.000000
64,422384.921682,80529.000000
65536,840053.305738,88879.000000
8192,577059.031050,58804.000000
8,7424.290202,3604.000000
