frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,137644.950489,132996.000000
128,391892.029463,71827.000000
16384,356986.060515,66633.000000
16,474758.161068,97133.000000
2048,55016.561152,20948.000000
256,41422.717366,33115.000000
2,429421.718081,92300.000000
32768,255680.424390,73826.000000
32,21447.357669,15212.000000
4096,267644.561637,68630.000000
4,179458.280213,43228.000000
512,484323.615044,76687.000000
64,315209.139235,54390.000000
65536,13626.580092,9938.000000
8192,641796.201692,87505.000000
8,9031.359311,6099.000000
