frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,235742.213076,47935.000000
128,38083.141191,21629.000000
16384,223983.906596,53821.000000
16,7709.033338,4649.000000
2048,312929.022968,47725.000000
256,14381.290936,6387.000000
2,452690.226579,83034.000000
32768,3391.655053,708.000000
32,311484.790837,56004.000000
4096,290257.920192,57633.000000
4,267535.199832,53294.000000
512,535938.402681,81452.000000
64,415465.409297,66680.000000
65536,5014.645551,1504.000000
8192,181387.764620,43094.000000
8,201972.718564,55891.000000
