frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,177617.979405,47485.000000
128,402928.575025,71156.000000
16384,303142.341640,46714.000000
16,213795.076791,50637.000000
2048,427434.874124,78096.000000
256,216303.548669,43613.000000
2,449958.456737,65362.000000
32768,274279.227513,66507.000000
32,422332.213696,71446.000000
4096,15053.412105,12242.000000
4,22930.921569,18604.000000
512,251382.016441,58288.000000
64,448588.216605,88263.000000
65536,239963.194294,60131.000000
8192,573639.699965,78511.000000
8,24796.179121,21067.000000
