frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,645241.299164,12563.000000,21911.601493
4,835121.854992,14213.000000,13250.474444
8,1638858.766836,23917.000000,52008.785277
16,986921.234606,19876.000000,64290.379226
32,260093.385504,7121.000000,12678.432001
64,482275.306529,12369.000000,910.348285
128,372271.613841,7702.000000,12243.180878
256,1189744.277376,23909.000000,105294.387752
512,580047.728475,14500.000000,8353.994913
1024,601698.021783,11464.000000,15721.744210
2048,2119122.026252,40464.000000,828340.015092
4096,1624182.268141,37048.000000,48530.900733
8192,1384280.173069,21054.000000,446835.052523
16384,1706869.580226,31073.000000,1077024.691466
32768,3369241.668844,49348.000000,2075061.104893
65536,796177.726728,19122.000000,556378.994734
