frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,2905455.140048,48778.000000,47228.057794
4,1227528.556989,28057.000000,150.485880
8,1991821.984054,33959.000000,44795.593020
16,1463205.485890,26120.000000,311.849323
32,919440.161586,21184.000000,23845.054603
64,2282199.213069,39095.000000,177811.401699
128,594508.470658,13770.000000,2442.058558
256,2908979.353227,35505.000000,220898.390252
512,308305.955596,8344.000000,76279.682557
1024,749728.707232,15626.000000,50680.447226
2048,721173.958460,14777.000000,181419.071594
4096,1756754.565904,32713.000000,421217.203978
8192,5073899.585141,70861.000000,326455.079575
16384,2206484.957517,47797.000000,291603.579153
32768,1407880.316809,37606.000000,1331544.851382
65536,4581233.181587,72111.000000,3204421.567978
