frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,968798.029188,19317.000000,19674.118379
4,2017937.487230,33593.000000,15102.000000
8,1619107.448022,30328.000000,40553.652191
16,2870010.646892,52524.000000,1736.422472
32,586722.048527,13411.000000,18095.833167
64,1224941.905237,21252.000000,2850.177012
128,3085487.265716,57864.000000,136653.248436
256,867061.802651,17116.000000,48357.366822
512,2440477.104581,45264.000000,1579.230192
1024,1581987.401739,25589.000000,319736.810554
2048,458010.566135,10093.000000,43523.445567
4096,679613.484206,42424.000000,109139.680657
8192,1273983.614824,27995.000000,170339.896263
16384,1065824.516305,25932.000000,225528.761403
32768,1079917.239376,29276.000000,573101.577022
65536,2883423.467607,42540.000000,1175407.176770
