frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,74636610.283927,2258785.000000
4,74434601.617356,2277342.000000
8,74834469.146598,2312862.000000
16,74315112.154545,2096151.000000
32,75361949.004787,2296324.000000
64,77846000.712478,2158464.000000
128,77506865.469244,2104553.000000
256,76875493.656956,2205351.000000
512,79951935.226557,2232214.000000
1024,79139118.175669,2219021.000000
2048,77232801.772630,2156841.000000
4096,78799106.509990,2310737.000000
8192,77414675.326261,2142886.000000
16384,67586471.532639,2074342.000000
32768,82205526.281734,2160280.000000
65536,98261478.805463,2201638.000000
