frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,73038179.126070,2295059.000000
4,74771511.866722,2191782.000000
8,75541465.475703,2171098.000000
16,73759447.283238,2155521.000000
32,75510122.947020,2197176.000000
64,75564899.525225,2228970.000000
128,75905424.980432,2138247.000000
256,76307454.028768,2258176.000000
512,81356454.654582,2231518.000000
1024,74028640.215044,2180233.000000
2048,70594347.774254,2094012.000000
4096,73904942.299377,2212673.000000
8192,77659841.457934,2393763.000000
16384,90469770.744009,2330784.000000
32768,100368230.756779,2132077.000000
65536,46747752.293036,1454780.000000
