frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,73588453.011067,2173748.000000
4,73348860.928444,2203897.000000
8,74136030.220903,2072799.000000
16,76005708.705140,2190348.000000
32,76567057.188452,2193343.000000
64,78068276.249133,2160124.000000
128,77857853.565009,2197008.000000
256,76172611.275525,2116769.000000
512,73314167.890365,2232837.000000
1024,78815262.871233,2190944.000000
2048,71982042.794666,2184295.000000
4096,73302496.411819,2015056.000000
8192,82706472.100073,2199226.000000
16384,52957915.745867,1979370.000000
32768,101200425.048443,2323728.000000
65536,92096858.946471,2069843.000000
