frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,73697434.509188,2324438.000000
4,74721162.654348,2270028.000000
8,76035088.579899,2231220.000000
16,75377245.741250,2249476.000000
32,77149080.704138,2249787.000000
64,76158633.570373,2228497.000000
128,77258295.992982,2133154.000000
256,79962859.792144,2263284.000000
512,79746222.217766,2229331.000000
1024,73938620.012155,2150471.000000
2048,79263320.195381,2211733.000000
4096,78513518.904060,2234641.000000
8192,78770485.746681,2193244.000000
16384,89534361.745146,2100972.000000
32768,66351321.488387,2112996.000000
65536,121306307.621514,2238297.000000
