frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,72566953.881137,2189859.000000
4,74456727.400329,2117025.000000
8,75271319.774337,2164234.000000
16,76400237.082875,2179306.000000
32,78074700.089041,2401284.000000
64,74935624.248560,2172390.000000
128,76926677.858958,2211700.000000
256,77326894.242325,2184595.000000
512,73660912.564754,2212362.000000
1024,77618946.556124,2182740.000000
2048,83771685.864408,2250698.000000
4096,69989979.408146,2189295.000000
8192,61546930.063153,2154856.000000
16384,84360441.049609,2121670.000000
32768,81929006.376773,2502149.000000
65536,127978956.350222,2190379.000000
