frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,74482551.427703,2148272.000000
4,75701273.585405,2142636.000000
8,77135490.046941,2176624.000000
16,74959543.638762,2191358.000000
32,73336673.237583,2206549.000000
64,76676237.352068,2245397.000000
128,75845562.278631,2181253.000000
256,76600215.592715,2253333.000000
512,73594620.624631,2141024.000000
1024,76447239.274735,2164529.000000
2048,73677847.468145,2072406.000000
4096,78791895.659546,2098558.000000
8192,63933171.929721,1995550.000000
16384,83990172.182557,2104761.000000
32768,72338253.308536,2154741.000000
65536,90819924.824883,2268589.000000
