frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,73639337.650899,2258606.000000
4,73960152.830693,2428944.000000
8,74585589.138386,2387687.000000
16,75338737.586105,2175773.000000
32,77989456.623507,2139969.000000
64,76844287.338505,2175863.000000
128,74881214.277025,2179099.000000
256,75502471.339135,2228974.000000
512,75799259.366226,2207005.000000
1024,78210803.768454,2222085.000000
2048,71526279.995251,2140890.000000
4096,75261494.520599,2329306.000000
8192,74465644.075408,2067576.000000
16384,80550102.156184,2241746.000000
32768,78779401.680882,2312866.000000
65536,63750107.249754,1905719.000000
