frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,74867945.422209,2266988.000000
4,73569700.252547,2293418.000000
8,75094452.565976,2205089.000000
16,76641016.463603,2261483.000000
32,72960711.601226,2151881.000000
64,76365342.736324,2241553.000000
128,75226640.432660,2146155.000000
256,78496119.485834,2190606.000000
512,75324783.879692,2237617.000000
1024,73922894.013214,2209789.000000
2048,74538016.135142,2080601.000000
4096,78902008.359660,2201194.000000
8192,57060627.010653,2243607.000000
16384,79089483.455485,2265363.000000
32768,96731888.093804,2619714.000000
65536,45791158.078547,2197829.000000
