frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,74748316.585631,2279037.000000
4,73019370.544690,2596924.000000
8,75533476.645734,2264269.000000
16,75197691.650672,2200580.000000
32,77103314.001714,2388946.000000
64,76459389.942817,2260686.000000
128,76377831.175116,2173955.000000
256,75075411.659399,2177879.000000
512,75609899.515469,2270109.000000
1024,76740388.786488,2179971.000000
2048,80064970.112920,2294074.000000
4096,68457373.533103,2124191.000000
8192,85193080.745692,2252990.000000
16384,63682078.724183,2112289.000000
32768,68524752.272511,2035018.000000
65536,84879275.932193,2250296.000000
