frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,150186.668453,126439.000000,0.000000
4,186680.388691,88288.000000,0.000000
8,546603.394556,279299.000000,0.000000
16,129257.970857,61405.000000,0.000000
32,754103.499953,340429.000000,0.000000
64,129718.146217,57943.000000,0.000000
128,299795.806472,108825.000000,0.000000
256,278416.461609,137380.000000,0.000000
512,415587.081505,295525.000000,0.000000
1024,198017.420415,139637.000000,0.000000
2048,126160.860444,75085.000000,0.000000
4096,139386.410342,44043.000000,0.000000
8192,615355.038769,283466.000000,0.000000
16384,131019.143082,85803.000000,0.000000
32768,112208.046075,64153.000000,0.000000
65536,81109.099964,43284.000000,0.000000
