frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,208254.841103,155648.000000,0.000000
4,485149.772670,232950.000000,0.000000
8,536803.850715,254793.000000,0.000000
16,154463.642894,80711.000000,0.000000
32,247342.363806,148097.000000,0.000000
64,941329.077468,312197.000000,0.000000
128,449052.903867,152856.000000,0.000000
256,248196.318716,104249.000000,0.000000
512,555736.795598,299173.000000,0.000000
1024,288098.915076,190938.000000,0.000000
2048,509461.010580,160828.000000,0.000000
4096,959256.500782,320090.000000,0.000000
8192,472819.252909,220941.000000,0.000000
16384,813729.293904,256009.000000,0.000000
32768,1004390.440679,245303.000000,0.000000
65536,430308.729561,160327.000000,0.000000
