arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time
26,4.073000,262144,1432570.375442,1347817.098654,1347817.098654,1347817.098654,1347817.098654,1347817.098654,1347817.098654
26,5.649000,4096,5308314.237428,5341641.995452,5341641.995452,5341641.995452,5341641.995452,5341641.995452,5341641.995452
26,4.639000,32768,2722537.992035,2722328.279895,2722328.279895,2722328.279895,2722328.279895,2722328.279895,2722328.279895
26,7.918000,512,11781488.720427,11770347.971813,11781488.720427,11781488.720427,11781488.720427,11781488.720427,11781488.720427
26,16.772000,64,21363867.661532,21363867.661532,21363867.661532,21363867.661532,21363867.661532,20498884.582125,20614586.484564
