Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs500_mode0_L2_norm_flow_time,Dynamic_BAL_njobs500_mode0_maximum_flow_time,Dynamic_BAL_njobs500_mode1_L2_norm_flow_time,Dynamic_BAL_njobs500_mode1_maximum_flow_time,Dynamic_BAL_njobs500_mode2_L2_norm_flow_time,Dynamic_BAL_njobs500_mode2_maximum_flow_time,Dynamic_BAL_njobs500_mode4_L2_norm_flow_time,Dynamic_BAL_njobs500_mode4_maximum_flow_time,Dynamic_BAL_njobs500_mode8_L2_norm_flow_time,Dynamic_BAL_njobs500_mode8_maximum_flow_time,Dynamic_BAL_njobs500_mode16_L2_norm_flow_time,Dynamic_BAL_njobs500_mode16_maximum_flow_time
36,16.772000,64.000000,16037.637451,2426.000000,16037.637451,2426.000000,16037.637451,2426.000000,16037.637451,2426.000000,16037.637451,2426.000000,16037.637451,2426.000000
36,30.000000,18.000000,19376.446269,1682.000000,19376.446269,1682.000000,19376.446269,1682.000000,19376.446269,1682.000000,19376.446269,1682.000000,19376.446269,1682.000000
36,7.918000,512.000000,27777.077384,6280.000000,27777.077384,6280.000000,27777.077384,6280.000000,27777.077384,6280.000000,27777.077384,6280.000000,27777.077384,6280.000000
36,30.000000,12.000000,21292.792255,7297.000000,21292.792255,7297.000000,21292.792255,7297.000000,21292.792255,7297.000000,21292.792255,7297.000000,21292.792255,7297.000000
36,30.000000,15.000000,18336.137898,1764.000000,18336.137898,1764.000000,18336.137898,1764.000000,18336.137898,1764.000000,18336.137898,1764.000000,18336.137898,1764.000000
36,30.000000,9.000000,18034.522921,3109.000000,18034.522921,3109.000000,18034.522921,3109.000000,18034.522921,3109.000000,18034.522921,3109.000000,18034.522921,3109.000000
36,30.000000,6.000000,18604.095544,2543.000000,18604.095544,2543.000000,18604.095544,2543.000000,18604.095544,2543.000000,18604.095544,2543.000000,18604.095544,2543.000000
36,5.649000,4096.000000,65210.084803,7233.000000,65210.084803,7233.000000,65210.084803,7233.000000,65210.084803,7233.000000,65210.084803,7233.000000,65210.084803,7233.000000
36,4.073000,262144.000000,381177.583069,152960.000000,381177.583069,152960.000000,381177.583069,152960.000000,381177.583069,152960.000000,381177.583069,152960.000000,381177.583069,152960.000000
36,4.639000,32768.000000,463628.579029,162076.000000,463628.579029,162076.000000,463628.579029,162076.000000,463628.579029,162076.000000,463628.579029,162076.000000,463628.579029,162076.000000
