Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs500_mode0_L2_norm_flow_time,Dynamic_BAL_njobs500_mode0_maximum_flow_time,Dynamic_BAL_njobs500_mode1_L2_norm_flow_time,Dynamic_BAL_njobs500_mode1_maximum_flow_time,Dynamic_BAL_njobs500_mode2_L2_norm_flow_time,Dynamic_BAL_njobs500_mode2_maximum_flow_time,Dynamic_BAL_njobs500_mode4_L2_norm_flow_time,Dynamic_BAL_njobs500_mode4_maximum_flow_time,Dynamic_BAL_njobs500_mode8_L2_norm_flow_time,Dynamic_BAL_njobs500_mode8_maximum_flow_time,Dynamic_BAL_njobs500_mode16_L2_norm_flow_time,Dynamic_BAL_njobs500_mode16_maximum_flow_time
30,4.639000,32768.000000,277705.827595,141294.000000,277705.827595,141294.000000,277705.827595,141294.000000,277705.827595,141294.000000,277705.827595,141294.000000,277705.827595,141294.000000
30,7.918000,512.000000,235751.293197,86544.000000,249724.923382,100463.000000,249724.923382,100463.000000,249724.923382,100463.000000,236525.582033,86544.000000,229321.540447,86544.000000
30,30.000000,6.000000,220298.066331,9004.000000,220298.066331,9004.000000,220298.066331,9004.000000,220298.066331,9004.000000,220298.066331,9004.000000,220298.066331,9004.000000
30,30.000000,12.000000,737109.528409,16765.000000,737109.528409,16765.000000,737109.528409,16765.000000,737109.528409,16765.000000,737109.528409,16765.000000,737109.528409,16765.000000
30,5.649000,4096.000000,503699.686537,230354.000000,503699.686537,230354.000000,503699.686537,230354.000000,503699.686537,230354.000000,503699.686537,230354.000000,503699.686537,230354.000000
30,30.000000,15.000000,283012.629663,19189.000000,283012.629663,19189.000000,283012.629663,19189.000000,283012.629663,19189.000000,283012.629663,19189.000000,283012.629663,19189.000000
30,4.073000,262144.000000,346379.527959,98847.000000,346379.527959,98847.000000,346379.527959,98847.000000,346379.527959,98847.000000,346379.527959,98847.000000,346379.527959,98847.000000
30,30.000000,9.000000,455326.066192,8387.000000,455326.066192,8387.000000,455326.066192,8387.000000,455326.066192,8387.000000,455326.066192,8387.000000,455326.066192,8387.000000
30,30.000000,18.000000,1058814.411676,17952.000000,1058814.411676,17952.000000,1058814.411676,17952.000000,1058814.411676,17952.000000,1058814.411676,17952.000000,1058814.411676,17952.000000
30,16.772000,64.000000,302999.084837,21771.000000,302999.084837,21771.000000,302999.084837,21771.000000,302999.084837,21771.000000,302999.084837,21771.000000,302999.084837,21771.000000
