Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs500_mode0_L2_norm_flow_time,Dynamic_BAL_njobs500_mode0_maximum_flow_time,Dynamic_BAL_njobs500_mode1_L2_norm_flow_time,Dynamic_BAL_njobs500_mode1_maximum_flow_time,Dynamic_BAL_njobs500_mode2_L2_norm_flow_time,Dynamic_BAL_njobs500_mode2_maximum_flow_time,Dynamic_BAL_njobs500_mode4_L2_norm_flow_time,Dynamic_BAL_njobs500_mode4_maximum_flow_time,Dynamic_BAL_njobs500_mode8_L2_norm_flow_time,Dynamic_BAL_njobs500_mode8_maximum_flow_time,Dynamic_BAL_njobs500_mode16_L2_norm_flow_time,Dynamic_BAL_njobs500_mode16_maximum_flow_time
28,16.772000,64.000000,1094652.350427,24493.000000,1094652.350427,24493.000000,1094652.350427,24493.000000,1094652.350427,24493.000000,1094652.350427,24493.000000,1094652.350427,24493.000000
28,4.639000,32768.000000,171143.143412,59395.000000,171143.143412,59395.000000,171143.143412,59395.000000,171143.143412,59395.000000,171143.143412,59395.000000,171143.143412,59395.000000
28,30.000000,9.000000,1442229.228072,24559.000000,1442229.228072,24559.000000,1442229.228072,24559.000000,1442229.228072,24559.000000,1442229.228072,24559.000000,1442229.228072,24559.000000
28,7.918000,512.000000,1162155.187415,232643.000000,1162155.187415,232643.000000,1162155.187415,232643.000000,1162155.187415,232643.000000,1162155.187415,232643.000000,1162155.187415,232643.000000
28,30.000000,18.000000,1883978.077075,103619.000000,1955068.368105,32928.000000,1955068.368105,32928.000000,1955068.368105,32928.000000,1955068.368105,32928.000000,1968717.123612,147198.000000
28,5.649000,4096.000000,689180.329958,287597.000000,689180.329958,287597.000000,689180.329958,287597.000000,689180.329958,287597.000000,689180.329958,287597.000000,689180.329958,287597.000000
28,30.000000,6.000000,1460083.554324,23835.000000,1460083.554324,23835.000000,1460083.554324,23835.000000,1460083.554324,23835.000000,1460083.554324,23835.000000,1460083.554324,23835.000000
28,30.000000,12.000000,1075655.206451,26082.000000,1075655.206451,26082.000000,1075655.206451,26082.000000,1075655.206451,26082.000000,1075655.206451,26082.000000,1075655.206451,26082.000000
28,4.073000,262144.000000,454707.950285,274511.000000,454707.950285,274511.000000,454707.950285,274511.000000,454707.950285,274511.000000,454707.950285,274511.000000,454707.950285,274511.000000
28,30.000000,15.000000,2192574.127967,35139.000000,2211300.321556,35139.000000,2211300.321556,35139.000000,2211300.321556,35139.000000,2211300.321556,35139.000000,2192574.127967,35139.000000
