Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
32,30.000000,15.000000,64680.371667,64680.371667,64680.371667,64680.371667,64680.371667,64680.371667
32,30.000000,6.000000,32439.277134,32439.277134,32439.277134,32439.277134,32439.277134,32439.277134
32,30.000000,9.000000,42422.036585,42422.036585,42422.036585,42422.036585,42422.036585,42422.036585
32,30.000000,18.000000,60519.038038,59973.231212,59973.585611,59973.585611,59993.407263,59973.585611
32,7.918000,512.000000,78637.659000,76772.320207,76772.320207,76772.320207,76772.320207,76772.320207
32,16.772000,64.000000,56215.149141,56015.784222,56015.784222,56015.784222,56215.149141,56015.784222
32,30.000000,12.000000,67935.695890,67931.052303,67931.052303,67931.052303,67931.052303,67931.052303
32,5.649000,4096.000000,125252.040902,125252.040902,125252.040902,125252.040902,125252.040902,125252.040902
32,4.073000,262144.000000,164593.050424,164593.050424,164593.050424,164593.050424,164593.050424,164593.050424
32,4.639000,32768.000000,150591.603870,150591.603870,150591.603870,150591.603870,150591.603870,150591.603870
