Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs500_mode0_L2_norm_flow_time,Dynamic_BAL_njobs500_mode0_maximum_flow_time,Dynamic_BAL_njobs500_mode1_L2_norm_flow_time,Dynamic_BAL_njobs500_mode1_maximum_flow_time,Dynamic_BAL_njobs500_mode2_L2_norm_flow_time,Dynamic_BAL_njobs500_mode2_maximum_flow_time,Dynamic_BAL_njobs500_mode4_L2_norm_flow_time,Dynamic_BAL_njobs500_mode4_maximum_flow_time,Dynamic_BAL_njobs500_mode8_L2_norm_flow_time,Dynamic_BAL_njobs500_mode8_maximum_flow_time,Dynamic_BAL_njobs500_mode16_L2_norm_flow_time,Dynamic_BAL_njobs500_mode16_maximum_flow_time
32,7.918000,512.000000,69505.368865,26563.000000,69505.368865,26563.000000,69505.368865,26563.000000,69505.368865,26563.000000,69505.368865,26563.000000,69505.368865,26563.000000
32,16.772000,64.000000,54459.122826,5483.000000,54459.122826,5483.000000,54459.122826,5483.000000,54459.122826,5483.000000,54459.122826,5483.000000,54459.122826,5483.000000
32,30.000000,9.000000,55655.197700,17944.000000,55655.197700,17944.000000,55655.197700,17944.000000,55655.197700,17944.000000,55655.197700,17944.000000,55655.197700,17944.000000
32,30.000000,15.000000,74014.886016,18689.000000,74014.886016,18689.000000,74014.886016,18689.000000,74014.886016,18689.000000,74014.886016,18689.000000,74014.886016,18689.000000
32,30.000000,12.000000,32681.478792,4218.000000,32681.478792,4218.000000,32681.478792,4218.000000,32681.478792,4218.000000,32681.478792,4218.000000,32681.478792,4218.000000
32,30.000000,6.000000,52340.827028,3392.000000,52340.827028,3392.000000,52340.827028,3392.000000,52340.827028,3392.000000,52340.827028,3392.000000,52340.827028,3392.000000
32,4.639000,32768.000000,289866.142762,153889.000000,289866.142762,153889.000000,289866.142762,153889.000000,289866.142762,153889.000000,289866.142762,153889.000000,289866.142762,153889.000000
32,30.000000,18.000000,67151.497958,4690.000000,67151.497958,4690.000000,67151.497958,4690.000000,67151.497958,4690.000000,67151.497958,4690.000000,67151.497958,4690.000000
32,5.649000,4096.000000,220534.714070,105147.000000,220534.714070,105147.000000,220534.714070,105147.000000,220534.714070,105147.000000,220534.714070,105147.000000,220534.714070,105147.000000
32,4.073000,262144.000000,175488.299670,28394.000000,175488.299670,28394.000000,175488.299670,28394.000000,175488.299670,28394.000000,175488.299670,28394.000000,175488.299670,28394.000000
