arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
28,4.073000,262144,1775279.738638,824314.035097,824314.035097,824314.035097,824314.035097,824314.035097
28,7.918000,512,6965067.192814,6981704.178792,6981704.178792,6981704.178792,6981704.178792,6981704.178792
28,5.649000,4096,3221824.828413,3317282.039277,3317282.039277,3317282.039277,3317282.039277,3317282.039277
28,4.639000,32768,2572157.936081,2443442.440300,2443442.440300,2443442.440300,2443442.440300,2443442.440300
28,30.000000,12,10866425.282470,10866425.282470,10866425.282470,10866425.282470,10866425.282470,10866425.282470
28,30.000000,9,11657262.299477,11657262.299477,11657262.299477,11657262.299477,11657262.299477,11657262.299477
28,30.000000,6,11865752.379499,11865752.379499,11865752.379499,11865752.379499,11865752.379499,11865752.379499
28,16.772000,64,10897717.085927,10901234.638614,10901234.638614,10901234.638614,10901234.638614,10901234.638614
