Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs500_mode0_L2_norm_flow_time,Dynamic_BAL_njobs500_mode0_maximum_flow_time,Dynamic_BAL_njobs500_mode1_L2_norm_flow_time,Dynamic_BAL_njobs500_mode1_maximum_flow_time,Dynamic_BAL_njobs500_mode2_L2_norm_flow_time,Dynamic_BAL_njobs500_mode2_maximum_flow_time,Dynamic_BAL_njobs500_mode4_L2_norm_flow_time,Dynamic_BAL_njobs500_mode4_maximum_flow_time,Dynamic_BAL_njobs500_mode8_L2_norm_flow_time,Dynamic_BAL_njobs500_mode8_maximum_flow_time,Dynamic_BAL_njobs500_mode16_L2_norm_flow_time,Dynamic_BAL_njobs500_mode16_maximum_flow_time
32,30.000000,15.000000,42321.354350,6850.000000,42321.354350,6850.000000,42321.354350,6850.000000,42321.354350,6850.000000,42321.354350,6850.000000,42321.354350,6850.000000
32,30.000000,9.000000,80824.326592,11547.000000,80824.326592,11547.000000,80824.326592,11547.000000,80824.326592,11547.000000,80824.326592,11547.000000,80824.326592,11547.000000
32,5.649000,4096.000000,202027.172279,114747.000000,202027.172279,114747.000000,202027.172279,114747.000000,202027.172279,114747.000000,202027.172279,114747.000000,202027.172279,114747.000000
32,7.918000,512.000000,173388.446706,96505.000000,197103.782473,125125.000000,197103.782473,125125.000000,197103.782473,125125.000000,171960.608928,96505.000000,173388.446706,96505.000000
32,30.000000,12.000000,56345.541163,3770.000000,56345.541163,3770.000000,56345.541163,3770.000000,56345.541163,3770.000000,56345.541163,3770.000000,56345.541163,3770.000000
32,30.000000,6.000000,56897.344033,10607.000000,56897.344033,10607.000000,56897.344033,10607.000000,56897.344033,10607.000000,56897.344033,10607.000000,56897.344033,10607.000000
32,30.000000,18.000000,51786.381714,10164.000000,51786.381714,10164.000000,51786.381714,10164.000000,51786.381714,10164.000000,51786.381714,10164.000000,51786.381714,10164.000000
32,16.772000,64.000000,50898.582475,3237.000000,50898.582475,3237.000000,50898.582475,3237.000000,50898.582475,3237.000000,50898.582475,3237.000000,50898.582475,3237.000000
32,4.073000,262144.000000,509086.712183,349307.000000,509086.712183,349307.000000,509086.712183,349307.000000,509086.712183,349307.000000,509086.712183,349307.000000,509086.712183,349307.000000
32,4.639000,32768.000000,395073.643083,146394.000000,395073.643083,146394.000000,395073.643083,146394.000000,395073.643083,146394.000000,395073.643083,146394.000000,395073.643083,146394.000000
