arrival_rate,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time
20,8.500000,262144,60961390.032303
20,9.800000,32768,78468721.539933
20,12.400000,4096,114794261.370094
20,18.900000,512,190676637.002984
20,56.300000,64,328093637.015909
20,60.000000,12,314937627.042959
20,60.000000,18,301459946.689770
20,60.000000,24,289070901.024548
