arrival_rate,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time
30,8.500000,262144,4231014.811662
30,9.800000,32768,7100318.752798
30,12.400000,4096,10343796.470245
30,18.900000,512,18086659.162851
30,56.300000,64,31302975.329566
30,60.000000,12,30548539.723158
30,60.000000,18,29647406.402080
30,60.000000,24,28060947.494396
