frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,14398615.496657,538061.000000,229309.000000
4,14302062.258211,543012.000000,245075.393596
8,14140293.314205,537160.000000,273.653065
16,14452374.282678,540474.000000,83088.450118
32,14535004.454901,552814.000000,489607.093569
64,14887364.546943,545753.000000,525638.512342
128,14050238.769665,518854.000000,562615.460691
256,14339765.792208,534296.000000,829642.010018
512,14902610.513946,542965.000000,971534.598541
1024,14571964.926655,512868.000000,1924685.526682
2048,13591316.960725,525890.000000,1427446.166592
4096,10545626.910076,471630.000000,1809502.029133
8192,13177768.428052,484045.000000,6066844.509414
16384,15101120.875209,517528.000000,274694.662640
32768,13198427.490286,451265.000000,9345099.822374
65536,24810612.497265,681905.000000,14080875.712129
