frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,14200351.186031,537976.000000,322893.199403
4,14210147.544542,543708.000000,5123.533254
8,14524594.242615,550683.000000,180.718012
16,14367773.106001,544420.000000,249539.299656
32,14305200.759457,535754.000000,1264.677825
64,14884767.101752,550041.000000,754484.511410
128,14580620.554970,539342.000000,1890618.875211
256,15124067.589205,552185.000000,916346.203115
512,14384221.591172,539870.000000,1354261.748521
1024,15892623.832677,557411.000000,2702995.796654
2048,13373947.830283,525791.000000,1888464.977222
4096,11539867.327396,476635.000000,3992915.052001
8192,14336718.361187,547216.000000,3911250.333817
16384,9467579.215238,410782.000000,100754.753372
32768,10706595.951473,406621.000000,7594940.291049
65536,25512370.683075,730759.000000,23250940.803321
