frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,13918358.038503,541326.000000,99.869915
4,14652097.691944,553008.000000,159696.953099
8,14065556.602241,540744.000000,252178.304874
16,14581265.442581,532086.000000,366572.495969
32,15124859.136865,549157.000000,446314.763283
64,14148753.340331,542481.000000,953328.984245
128,14568828.885996,543720.000000,806501.689968
256,14883106.204641,556144.000000,665483.834735
512,14930457.949675,550765.000000,1105206.508872
1024,14602998.332750,525715.000000,4064432.828229
2048,14293931.467629,536746.000000,801639.717682
4096,16548835.370751,560228.000000,192073.309934
8192,15055125.070393,583272.000000,1430875.973769
16384,20061856.062390,606759.000000,375820.165534
32768,22741749.566477,659735.000000,14876166.297336
65536,19056455.723927,583476.000000,13473491.554104
