frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,928651.330225,40101.000000,32962.750371
4,953671.056265,36987.000000,4418.434564
8,29378727.646717,554740.000000,674784.557604
16,29520198.710274,512731.000000,89745.097092
32,29695938.090615,536127.000000,755689.518113
64,1786973.034397,69160.000000,12042.026781
128,1371474.567430,43308.000000,130218.936188
256,30886961.140765,560791.000000,3260591.038699
512,1810102.994546,72289.000000,211242.397371
1024,30083806.346312,527470.000000,3412905.267503
2048,58226393.451674,873719.000000,4159042.492005
4096,1571991.256328,43325.000000,286121.218187
8192,29698991.721204,544127.000000,6819556.302758
16384,29316818.093480,513700.000000,9315626.324679
32768,33064430.181993,550133.000000,18287603.647200
65536,29725631.161608,530861.000000,15976298.222066
