frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,56643217.552316,876743.000000,1484235.115656
4,29888938.677765,526418.000000,627269.023437
8,55754697.487915,872128.000000,1376374.146195
16,55704738.262706,853650.000000,1238507.143183
32,1471388.040495,66955.000000,78348.026140
64,57103220.894819,889141.000000,3470854.345677
128,29825795.198631,529966.000000,1417248.823411
256,56902077.786930,859290.000000,5037769.085580
512,31310833.455256,547133.000000,4190259.148980
1024,57518638.820794,855355.000000,8762622.315390
2048,2306574.293177,91825.000000,784644.488303
4096,1448471.859518,56615.000000,204680.835954
8192,830876.051892,38298.000000,55125.057986
16384,270967.400801,16233.000000,0.000000
32768,1883482.102935,62564.000000,471566.814508
65536,58941330.920965,841396.000000,33903727.928515
