frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,29422907.841403,535727.000000,768597.689841
4,56695501.761145,860750.000000,1304117.668100
8,29596889.663472,530850.000000,1027531.544335
16,30066643.545702,538077.000000,1067977.419632
32,30518564.494069,539756.000000,1059159.759317
64,56963310.969910,855742.000000,2093249.014640
128,2885894.549305,118149.000000,144795.301609
256,2017373.715344,82782.000000,33220.854700
512,57597797.914003,862855.000000,5519982.424953
1024,57396446.216658,875678.000000,7503035.189557
2048,1811237.994209,74818.000000,56524.983981
4096,57864767.730398,861868.000000,15339288.615138
8192,57779998.286408,878599.000000,16364127.081369
16384,685956.445092,36689.000000,563377.754818
32768,32061422.957964,525379.000000,17147730.959933
65536,60589502.008008,873781.000000,33822972.079497
