frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,269353.308173,199853.000000,475.134718
4,418965.737560,270431.000000,12.206556
8,378792.830989,193750.000000,1066.076451
16,188334.598372,120562.000000,360.409489
32,351739.755498,249624.000000,106.625513
64,311874.470233,166579.000000,581.237473
128,770233.077583,306633.000000,25396.696065
256,670690.437496,262179.000000,14882.543936
512,656407.541639,277835.000000,4099.897072
1024,277975.743005,82266.000000,48806.315134
2048,805401.164750,302753.000000,252346.634759
4096,431294.562765,155376.000000,16930.275721
8192,123070.836578,72147.000000,56821.058499
16384,2103028.575661,196943.000000,811038.823089
32768,902479.623919,207862.000000,672674.800832
65536,801639.702463,109381.000000,759749.186735
