frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,404043.810371,277988.000000,26.115130
4,279604.191930,121126.000000,1026.345458
8,233062.329674,154481.000000,43.150898
16,144445.842567,49404.000000,114.778047
32,746020.269432,294022.000000,221.321034
64,620530.753152,299251.000000,1197.119877
128,757619.410397,277600.000000,28901.282100
256,657141.808248,202011.000000,8077.280483
512,488563.044117,345494.000000,22117.959287
1024,445027.355339,189600.000000,97814.605412
2048,603696.274641,232050.000000,83303.704509
4096,731030.050501,161545.000000,34612.414030
8192,1257165.113184,262714.000000,479337.081885
16384,1885379.577867,263390.000000,1352539.993411
32768,2465519.357756,236313.000000,2187556.135338
65536,2659085.675219,129026.000000,2465876.996355
