arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
36,8.500000,262144,16859473.264323
36,9.800000,32768,20973444.012882
36,12.400000,4096,43395473.241446
36,18.900000,512,78768281.718465
36,56.300000,64,157334770.614406
36,60.000000,12,146819445.356473
36,60.000000,18,140438911.970152
36,60.000000,24,135663904.238620
