arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
40,8.500000,262144,16401942.887087
40,9.800000,32768,26630909.224892
40,12.400000,4096,51559196.110105
40,18.900000,512,103070455.907503
40,56.300000,64,174717975.417981
40,60.000000,12,166737631.016886
40,60.000000,18,164106854.856219
40,60.000000,24,158368363.039160
