arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
36.0,4.073,262144,192512.40908315495
36.0,4.639,32768,154345.6076213379
36.0,5.649,4096,131439.23079126718
36.0,7.918,512,95584.26069704154
36.0,16.772,64,70270.44866087024
