arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
28.0,4.073,262144,313013.1193272895
28.0,4.639,32768,226883.75710702606
28.0,5.649,4096,2582640.253185294
28.0,7.918,512,7414193.444541625
28.0,16.772,64,19963484.655311882
