arrival_rate,bp_parameter_L,bp_parameter_H
22.0,4.073,262144,1010922.5562059638
22.0,4.639,32768,1645661.858607047
22.0,5.649,4096,2717122.299065134
22.0,7.918,512,5934664.026673372
22.0,16.772,64,12410073.704854738
