arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
30.0,4.073,262144,332383.0021752015
30.0,4.639,32768,732624.7133096181
30.0,5.649,4096,2059249.2185308703
30.0,7.918,512,3357172.99005577
30.0,16.772,64,14770679.58553221
