arrival_rate,bp_parameter_L,bp_parameter_H
30.0,4.073,262144,145703.98104719035
30.0,4.639,32768,263112.42076344474
30.0,5.649,4096,191682.4142533686
30.0,7.918,512,1657403.7689181233
30.0,16.772,64,5198667.091728706
