arrival_rate,bp_parameter_L,bp_parameter_H
30.0,4.073,262144,300121.45499447384
30.0,4.639,32768,61223.752490352956
30.0,5.649,4096,668236.323417846
30.0,7.918,512,949144.6004050173
30.0,16.772,64,1449248.2651385167
