arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
28.0,4.073,262144,369139.6842267165
28.0,4.639,32768,984994.024944314
28.0,5.649,4096,3030839.541527067
28.0,7.918,512,6744187.565144449
28.0,16.772,64,22595629.621240497
