arrival_rate,bp_parameter_L,bp_parameter_H
22.0,4.073,262144,785935.5581038435
22.0,4.639,32768,1388858.1880775301
22.0,5.649,4096,3216457.7415158125
22.0,7.918,512,5269362.136638362
22.0,16.772,64,12466372.290472478
