arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
40.0,4.073,262144,182616.96664877556
40.0,4.639,32768,290652.6021025788
40.0,5.649,4096,92775.09589324066
40.0,7.918,512,66788.69601961099
40.0,16.772,64,45057.09458009915
