arrival_rate,bp_parameter_L,bp_parameter_H
40.0,4.073,262144,232684.64429566468
40.0,4.639,32768,187034.58568671197
40.0,5.649,4096,75255.42286108025
40.0,7.918,512,33173.80603729394
40.0,16.772,64,30142.464298726474
