arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
40.0,4.073,262144,86702.68292849997
40.0,4.639,32768,112715.02354610941
40.0,5.649,4096,99702.43222710266
40.0,7.918,512,53343.51836915147
40.0,16.772,64,42882.38506659815
