arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
24.0,4.073,262144,787639.6316101672
24.0,4.639,32768,2750619.0526426956
24.0,5.649,4096,6492848.664253619
24.0,7.918,512,12892311.729848415
24.0,16.772,64,31789735.839242045
