arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
36.0,4.073,262144,229841.30125371288
36.0,4.639,32768,175940.71912152684
36.0,5.649,4096,194903.0247610334
36.0,7.918,512,83789.00868849088
36.0,16.772,64,68084.4652545645
