arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
30.0,4.073,262144,313579.4628303965
30.0,4.639,32768,288981.0421550175
30.0,5.649,4096,1719708.658787005
30.0,7.918,512,1724173.0518573245
30.0,16.772,64,7444828.212219608
