arrival_rate,bp_parameter_L,bp_parameter_H
22.0,4.073,262144,1180642.0396123459
22.0,4.639,32768,1321981.9062820035
22.0,5.649,4096,2232467.307434982
22.0,7.918,512,5836451.114415249
22.0,16.772,64,12930676.094653055
