arrival_rate,bp_parameter_L,bp_parameter_H
26.0,4.073,262144,588286.5538765951
26.0,4.639,32768,1009868.8518728558
26.0,5.649,4096,1279770.5359700231
26.0,7.918,512,4192559.1252559577
26.0,16.772,64,9866652.161188161
