arrival_rate,bp_parameter_L,bp_parameter_H
20.0,4.073,262144,1870379.223710796
20.0,4.639,32768,2208977.7362372847
20.0,5.649,4096,3047346.875440668
20.0,7.918,512,6907582.171614971
20.0,16.772,64,13607438.61790124
