arrival_rate,bp_parameter_L,bp_parameter_H
28.0,4.073,262144,172223.60415459896
28.0,4.639,32768,139846.21321294332
28.0,5.649,4096,1120298.3414233907
28.0,7.918,512,2154813.738129586
28.0,16.772,64,7367951.298496211
