arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
26.0,4.073,262144,1024040.7150689859
26.0,4.639,32768,1554990.097359144
26.0,5.649,4096,4388562.615576767
26.0,7.918,512,9572023.900221258
26.0,16.772,64,28187746.143175833
